Atlanta United FC II,Birmingham Legion,Charleston Battery,Colorado Springs Switchbacks,Detroit City FC,El Paso Locomotive,FC Tulsa,Hartford Athletic,Indy Eleven,Las Vegas Lights FC,Los Angeles Galaxy II,Loudoun United,Louisville City FC,Memphis 901,Miami FC,Monterey Bay FC,New Mexico United,New York Red Bulls II,Oakland Roots,Orange County SC,Phoenix Rising,Pittsburgh Riverhounds,Rio Grande Valley FC,Sacramento Republic,San Antonio Scorpions,San Diego Loyal,Tampa Bay Rowdies
27,5,24,15,11,3,25,20,21,16,2,23,19,12,7,22,10,26,18,14,9,17,8,4,1,13,6
27,9,20,17,11,3,24,22,21,19,18,25,15,4,8,23,7,26,13,14,12,16,5,2,1,10,6
27,15,20,16,10,6,24,22,23,18,19,25,4,1,7,21,9,26,14,12,13,17,5,8,2,11,3
27,13,20,14,11,7,24,23,22,19,18,25,5,1,2,21,8,26,12,17,16,15,6,9,3,10,4
26,13,20,14,12,10,24,22,23,19,18,25,3,1,2,21,9,27,11,17,16,15,6,7,4,8,5
26,11,18,4,12,14,23,24,22,19,20,25,2,1,3,21,8,27,10,17,16,15,9,7,5,13,6
26,11,18,4,12,15,23,24,22,20,19,25,2,1,3,21,8,27,10,17,16,14,5,9,6,13,7
27,11,19,5,12,15,24,23,22,20,18,25,2,1,3,21,8,26,10,17,16,14,4,9,6,13,7
27,11,19,6,12,16,23,24,21,18,20,25,2,1,4,22,8,26,10,17,13,15,5,9,3,14,7
27,11,20,6,12,16,23,24,21,18,19,25,2,1,4,22,10,26,13,17,9,15,5,8,3,14,7
27,12,19,5,13,16,24,23,22,18,20,25,2,1,4,21,11,26,14,17,9,15,6,8,3,10,7
26,10,19,6,13,16,24,23,22,18,20,25,2,1,4,21,12,27,14,17,11,15,5,8,3,9,7
26,9,19,5,12,16,25,24,22,18,20,21,2,1,4,23,11,27,14,17,13,15,6,8,3,10,7
26,10,20,6,12,16,24,23,25,18,19,21,2,1,4,22,9,27,13,17,14,15,5,8,3,11,7
26,11,20,4,10,16,22,23,25,18,19,24,2,1,6,21,9,27,13,17,15,14,7,8,3,12,5
26,11,20,5,9,15,23,22,25,18,19,24,2,1,4,21,10,27,13,17,16,14,7,8,3,12,6
26,11,20,6,7,16,23,22,25,19,18,24,2,1,4,21,10,27,13,17,15,14,8,9,3,12,5
26,11,20,5,7,17,22,23,25,19,16,24,2,1,4,21,10,27,13,18,15,12,9,8,3,14,6
26,12,20,5,9,17,22,23,25,19,16,24,2,1,4,21,11,27,14,18,15,10,8,7,3,13,6
26,10,20,6,9,15,23,22,25,19,17,24,2,1,5,21,12,27,14,18,16,11,7,8,3,13,4
26,11,20,4,9,15,21,23,25,19,17,24,2,1,6,22,10,27,14,18,16,12,7,8,3,13,5
26,10,21,4,9,16,20,23,25,18,17,24,2,1,6,22,11,27,15,19,14,12,7,8,3,13,5
26,10,21,4,9,16,20,23,25,17,18,24,2,1,6,22,11,27,15,19,14,13,8,7,3,12,5
27,10,21,4,9,16,20,23,25,18,19,24,2,1,6,22,12,26,15,17,14,13,8,7,3,11,5
26,9,21,4,10,16,20,22,25,18,19,24,2,1,6,23,11,27,13,17,15,14,8,7,3,12,5
26,9,22,4,11,16,20,21,25,19,18,24,2,1,6,23,10,27,14,17,15,13,8,7,3,12,5
26,9,22,4,11,16,20,21,24,19,18,25,2,1,6,23,10,27,14,17,15,13,7,8,3,12,5
26,9,23,4,11,16,21,22,24,19,18,25,2,1,6,20,10,27,15,17,14,13,7,8,3,12,5
26,9,23,4,10,16,20,22,24,19,18,25,2,1,6,21,11,27,15,17,14,13,8,7,3,12,5
26,9,23,4,10,16,20,22,24,19,17,25,2,1,6,21,12,27,15,18,14,13,8,7,3,11,5
26,9,23,4,10,16,20,22,24,19,17,25,2,1,8,21,12,27,15,18,14,13,7,6,3,11,5
26,9,23,5,11,16,20,22,24,19,17,25,2,1,8,21,12,27,15,18,14,13,7,6,3,10,4
26,9,24,5,12,16,20,22,23,19,17,25,3,1,8,21,10,27,15,18,14,13,7,6,2,11,4
26,8,24,6,12,16,20,22,23,19,17,25,3,1,9,21,10,27,15,18,14,13,7,5,2,11,4
26,7,24,6,12,16,20,22,23,18,17,25,3,1,9,21,11,27,15,19,14,13,8,5,2,10,4
26,6,24,7,12,15,20,22,23,18,17,25,3,2,9,21,11,27,16,19,14,13,8,5,1,10,4
26,6,24,7,12,16,20,22,23,19,17,25,3,2,9,21,10,27,14,18,15,13,8,5,1,11,4
26,6,24,7,12,16,20,21,23,19,17,25,3,2,10,22,9,27,14,18,15,13,8,5,1,11,4
26,6,24,7,12,16,20,21,23,19,18,25,3,2,10,22,9,27,14,17,15,13,8,5,1,11,4
26,6,24,7,12,16,20,21,23,19,17,25,3,2,10,22,9,27,14,18,15,13,8,5,1,11,4
26,6,24,7,11,15,20,22,23,19,17,25,3,2,10,21,9,27,14,18,16,13,8,5,1,12,4
26,6,24,7,11,15,20,22,23,19,17,25,3,2,10,21,9,27,14,18,16,13,8,5,1,12,4
26,6,24,7,11,14,20,22,23,19,17,25,3,2,10,21,9,27,15,18,16,12,8,5,1,13,4
26,6,24,7,11,14,20,22,23,19,17,25,4,2,10,21,9,27,15,18,16,12,8,5,1,13,3
26,6,24,7,11,14,20,22,23,19,17,25,4,3,10,21,9,27,15,18,16,12,8,5,1,13,2
26,6,24,7,11,15,20,22,23,19,18,25,4,3,10,21,9,27,14,17,16,12,8,5,1,13,2
26,6,24,7,11,15,20,22,23,19,18,25,4,3,10,21,9,27,14,17,16,12,8,5,1,13,2
26,6,24,7,11,15,20,22,23,19,18,25,4,3,10,21,9,27,14,17,16,12,8,5,1,13,2
26,6,24,7,11,15,20,22,23,19,18,25,4,3,10,21,9,27,14,17,16,12,8,5,1,13,2
26,6,24,7,11,15,20,22,23,19,18,25,4,3,10,21,9,27,14,17,16,12,8,5,1,13,2
26,6,24,7,11,15,20,22,23,19,18,25,4,3,10,21,9,27,14,17,16,12,8,5,1,13,2
26,6,24,7,11,15,20,22,23,19,18,25,4,3,10,21,9,27,14,17,16,12,8,5,1,13,2
